Name,H,B,C,D,E,F,G
Ptyas_mucosa,1,1,0,1,1,1,0
Ptyas_korros,0,0,0,0,1,1,0
Cyclophiops_major,1,0,0,0,1,1,0
Ptyas_dhumnades,1,0,1,0,1,1,0
Cyclophiops_multicinctus,0,0,0,0,0,1,0
Ptyas_luzonensis,0,0,0,0,0,1,0
