lon,lat,described,cryptic,lndescribed,lncryptic
110.5,23.5,22,2,3.091042453,0.693147181
111.5,23.5,16,1,2.772588722,0
113.5,23.5,29,3,3.36729583,1.098612289
114.5,23.5,30,1,3.401197382,0
115.5,23.5,18,1,2.890371758,0
116.5,23.5,1,2,0,0.693147181
120.5,23.5,25,1,3.218875825,0
121.5,23.5,19,2,2.944438979,0.693147181
99.5,22.5,30,1,3.401197382,0
100.5,22.5,52,6,3.951243719,1.791759469
101.5,22.5,34,1,3.526360525,0
107.5,22.5,24,2,3.17805383,0.693147181
108.5,22.5,18,2,2.890371758,0.693147181
109.5,22.5,9,1,2.197224577,0
110.5,22.5,22,1,3.091042453,0
111.5,22.5,21,3,3.044522438,1.098612289
112.5,22.5,13,1,2.564949357,0
113.5,22.5,17,1,2.833213344,0
114.5,22.5,27,1,3.295836866,0
120.5,22.5,23,2,3.135494216,0.693147181
101.5,21.5,36,2,3.583518938,0.693147181
110.5,20.5,18,1,2.890371758,0
109.5,19.5,41,1,3.713572067,0
110.5,19.5,17,1,2.833213344,0
109.5,18.5,40,3,3.688879454,1.098612289
